"file_name","option_label","crit_label","weight","optimistic","pessimistic"
"Employee 1","Control emissions","Change culture","50","60","40"
"Employee 1","Control emissions","Cost","25","50","30"
"Employee 1","Control emissions","Ease of implementation","35","40","10"
"Employee 1","Control emissions","Impact","75","90","70"
"Employee 1","Energy saving practices","Change culture","50","90","70"
"Employee 1","Energy saving practices","Cost","25","85","75"
"Employee 1","Energy saving practices","Ease of implementation","35","90","70"
"Employee 1","Energy saving practices","Impact","75","70","50"
"Employee 1","Health and safety","Change culture","50","75","60"
"Employee 1","Health and safety","Cost","25","85","75"
"Employee 1","Health and safety","Ease of implementation","35","75","55"
"Employee 1","Health and safety","Impact","75","60","40"
"Employee 1","Low energy equipment","Change culture","50","60","40"
"Employee 1","Low energy equipment","Cost","25","60","50"
"Employee 1","Low energy equipment","Ease of implementation","35","60","50"
"Employee 1","Low energy equipment","Impact","75","75","55"
"Employee 1","Recycle equipment","Change culture","50","75","60"
"Employee 1","Recycle equipment","Cost","25","70","55"
"Employee 1","Recycle equipment","Ease of implementation","35","70","50"
"Employee 1","Recycle equipment","Impact","75","60","50"
"Employee 1","Recycle materials","Change culture","50","85","70"
"Employee 1","Recycle materials","Cost","25","70","55"
"Employee 1","Recycle materials","Ease of implementation","35","90","40"
"Employee 1","Recycle materials","Impact","75","65","50"
"Employee 1","Reduce toxics","Change culture","50","60","40"
"Employee 1","Reduce toxics","Cost","25","40","20"
"Employee 1","Reduce toxics","Ease of implementation","35","40","10"
"Employee 1","Reduce toxics","Impact","75","85","70"
"Employee 1","Renewable energy","Change culture","50","60","40"
"Employee 1","Renewable energy","Cost","25","80","50"
"Employee 1","Renewable energy","Ease of implementation","35","70","10"
"Employee 1","Renewable energy","Impact","75","75","65"
"Management","Control emissions","Ease of Adoption","14","8","6"
"Management","Control emissions","Economic savings","67","6","4"
"Management","Control emissions","Implementation time","14","6","3"
"Management","Control emissions","Operating costs","14","8","5"
"Management","Control emissions","Other reduced impacts","14","7","6"
"Management","Control emissions","Reduced carbon emissions","66","7","6"
"Management","Control emissions","Start-up costs","14","5","4"
"Management","Energy saving practices","Ease of Adoption","14","8","5"
"Management","Energy saving practices","Economic savings","67","8","5"
"Management","Energy saving practices","Implementation time","14","8","4"
"Management","Energy saving practices","Operating costs","14","9","8"
"Management","Energy saving practices","Other reduced impacts","14","4","3"
"Management","Energy saving practices","Reduced carbon emissions","66","8","5"
"Management","Energy saving practices","Start-up costs","14","6","4"
"Management","Health and safety","Ease of Adoption","14","8","6"
"Management","Health and safety","Economic savings","67","3","2"
"Management","Health and safety","Implementation time","14","9","8"
"Management","Health and safety","Operating costs","14","8","7"
"Management","Health and safety","Other reduced impacts","14","6","5"
"Management","Health and safety","Reduced carbon emissions","66","3","1"
"Management","Health and safety","Start-up costs","14","8","7"
"Management","Low energy equipment","Ease of Adoption","14","9","8"
"Management","Low energy equipment","Economic savings","67","8","5"
"Management","Low energy equipment","Implementation time","14","7","4"
"Management","Low energy equipment","Operating costs","14","9","7"
"Management","Low energy equipment","Other reduced impacts","14","4","3"
"Management","Low energy equipment","Reduced carbon emissions","66","7","6"
"Management","Low energy equipment","Start-up costs","14","7","6"
"Management","Recycle equipment","Ease of Adoption","14","7","6"
"Management","Recycle equipment","Economic savings","67","6","5"
"Management","Recycle equipment","Implementation time","14","8","6"
"Management","Recycle equipment","Operating costs","14","9","6"
"Management","Recycle equipment","Other reduced impacts","14","3","2"
"Management","Recycle equipment","Reduced carbon emissions","66","6","5"
"Management","Recycle equipment","Start-up costs","14","8","7"
"Management","Recycle materials","Ease of Adoption","14","8","7"
"Management","Recycle materials","Economic savings","67","6","5"
"Management","Recycle materials","Implementation time","14","9","7"
"Management","Recycle materials","Operating costs","14","9","8"
"Management","Recycle materials","Other reduced impacts","14","3","2"
"Management","Recycle materials","Reduced carbon emissions","66","6","5"
"Management","Recycle materials","Start-up costs","14","9","8"
"Management","Reduce toxics","Ease of Adoption","14","8","6"
"Management","Reduce toxics","Economic savings","67","5","4"
"Management","Reduce toxics","Implementation time","14","7","4"
"Management","Reduce toxics","Operating costs","14","7","5"
"Management","Reduce toxics","Other reduced impacts","14","7","5"
"Management","Reduce toxics","Reduced carbon emissions","66","5","4"
"Management","Reduce toxics","Start-up costs","14","5","4"
"Management","Renewable energy","Ease of Adoption","14","9","8"
"Management","Renewable energy","Economic savings","67","8","4"
"Management","Renewable energy","Implementation time","14","8","5"
