option_label,Option Type, Change management, Ease of Adoption, Economic savings, Implementation time, Operating costs, Reduced carbon emissions, Start-up costs
Control emissions ,Optimistic,7,7,5,7,7,8,6
Control emissions ,Pessimistic,4,4,3,4,4,7,3
Energy saving practices ,Optimistic,8,9,9,8,9,9,8
Energy saving practices ,Pessimistic,6,6,6,6,8,7,6
Health and safety ,Optimistic,8,9,5,8,9,5,8
Health and safety ,Pessimistic,6,7,3,6,7,3,6
Low energy equipment ,Optimistic,9,9,9,7,9,9,8
Low energy equipment ,Pessimistic,7,8,7,5,8,8,5
Recycle equipment ,Optimistic,8,9,7,8,8,9,8
Recycle equipment ,Pessimistic,6,7,6,6,6,7,6
Recycle materials ,Optimistic,9,9,6,9,8,9,9
Recycle materials ,Pessimistic,7,8,5,8,7,7,8
Reduce toxics ,Optimistic,7,7,5,7,7,8,6
Reduce toxics ,Pessimistic,5,4,3,3,4,7,3
Renewable energy ,Optimistic,7,8,7,7,8,9,7
Renewable energy ,Pessimistic,5,5,5,4,5,8,4
